CustomerID,AccountType,AccountBalance,DateOfAccountOpening,LastTransactionDate,AccountID
137,Current,6931.2,2/23/2008,5/23/2023,137
138,Savings,3165.23,7/7/2020,10/19/2023,138
139,Current,847.22,11/5/2020,4/7/2023,139
140,Savings,2054.16,1/21/2016,3/26/2023,140
141,Current,1730.88,4/4/2013,10/25/2023,141
142,Savings,6356.23,3/2/2003,4/1/2023,142
143,Savings,778.63,5/2/2021,10/28/2023,143
144,Current,8859.02,10/15/2001,1/30/2023,144
145,Current,935.43,2/21/2007,10/22/2023,145
146,Current,6019.31,5/6/2013,6/23/2023,146
147,Savings,9302.37,11/11/2022,7/5/2023,147
148,Current,717.99,6/15/2019,1/30/2023,148
149,Savings,3892.74,5/17/2000,9/8/2023,149
150,Savings,3346.66,6/16/2001,4/19/2023,150
151,Savings,3507.67,3/27/2009,8/1/2023,151
152,Savings,6043.08,10/31/2018,8/6/2023,152
153,Current,2694.82,8/11/2008,12/10/2023,153
154,Savings,370.5,4/11/2018,7/1/2023,154
155,Savings,9626.52,5/13/2006,12/8/2023,155
156,Savings,7512.88,7/4/2016,2/6/2023,156
157,Current,1437.76,5/27/2011,12/12/2023,157
158,Current,4606.05,3/21/2003,5/30/2023,158
159,Current,720.95,12/20/2001,4/7/2023,159
160,Savings,375.78,10/11/2009,1/24/2023,160
161,Current,570.37,12/27/2015,11/21/2023,161
162,Current,7582.2,6/28/2000,12/10/2023,162
163,Savings,4504.75,12/27/2020,12/21/2023,163
164,Savings,8459.53,11/7/2004,5/2/2023,164
165,Current,3121.63,1/8/2000,3/27/2023,165
166,Current,7775.69,2/5/2017,6/10/2023,166
167,Savings,871.55,10/25/2015,1/17/2023,167
168,Current,6387.57,3/24/2011,9/1/2023,168
169,Savings,3669.96,11/27/2007,9/25/2023,169
170,Savings,2839.58,8/29/2020,10/13/2023,170
171,Savings,8169.58,6/24/2018,8/6/2023,171
172,Savings,614.03,8/14/2021,1/6/2023,172
173,Current,9500.36,4/13/2010,9/24/2023,173
174,Savings,7876.9,8/30/2002,8/23/2023,174
175,Savings,3620.53,4/21/2016,5/4/2023,175
176,Current,9914.2,8/7/2018,3/1/2023,176
177,Current,2104.64,6/11/2014,1/10/2023,177
178,Current,4083.9,6/11/2020,1/16/2023,178
179,Savings,8860.31,8/11/2012,3/25/2023,179
180,Savings,9968.39,5/15/2006,6/21/2023,180
181,Savings,2467.22,3/6/2019,5/27/2023,181
182,Current,7456.82,5/31/2009,4/10/2023,182
183,Current,3126.72,6/23/2015,9/28/2023,183
184,Savings,7688.08,4/12/2019,8/3/2023,184
185,Savings,1340.31,9/11/2013,3/26/2023,185
186,Savings,3428.08,9/28/2015,2/8/2023,186
187,Current,842.5,2/16/2005,1/5/2023,187
188,Current,4969.78,1/31/2001,3/27/2023,188
189,Savings,7044.86,6/6/2006,10/14/2023,189
190,Current,3848.3,4/25/2016,7/26/2023,190
191,Current,6185.7,6/27/2009,2/7/2023,191
192,Current,5733.96,11/11/2012,9/13/2023,192
193,Current,3016.51,6/11/2018,6/29/2023,193
194,Savings,4919.1,10/21/2011,1/19/2023,194
195,Savings,783.29,10/13/2021,6/12/2023,195
196,Current,4653.14,1/1/2000,7/21/2023,196
197,Current,4636.08,1/7/2020,9/28/2023,197
198,Savings,384.31,9/13/2014,3/29/2023,198
199,Current,5187.35,4/9/2003,6/24/2023,199
200,Current,7403.17,1/4/2003,8/31/2023,200
201,Savings,4577.3,9/21/2009,5/28/2023,201
202,Current,6495.65,1/31/2002,9/22/2023,202
203,Savings,5370.97,11/8/2020,1/5/2023,203
204,Current,7873.27,9/9/2022,5/19/2023,204
205,Current,5193.11,12/19/2014,4/13/2023,205
206,Current,3382.93,10/9/2016,12/13/2023,206
207,Current,8292.93,1/26/2003,9/15/2023,207
208,Current,769.45,2/17/2007,6/29/2023,208
209,Current,2965.62,8/23/2018,9/3/2023,209
210,Current,5955.7,10/10/2008,5/28/2023,210
211,Current,8574.66,9/24/2012,1/21/2023,211
212,Savings,814.2,8/21/2021,11/3/2023,212
213,Savings,1050.92,1/23/2014,6/7/2023,213
214,Savings,2895.61,5/27/2014,6/25/2023,214
215,Savings,3511.26,9/26/2005,9/14/2023,215
216,Current,8451.03,10/13/2007,9/22/2023,216
217,Savings,9593.14,5/19/2018,4/23/2023,217
218,Savings,270.56,4/19/2006,6/17/2023,218
219,Current,252.03,9/22/2004,1/21/2023,219
220,Current,8661.62,5/27/2001,3/21/2023,220
221,Current,1442.61,11/12/2018,8/16/2023,221
222,Current,3459.43,3/6/2002,2/6/2023,222
223,Current,2824.61,7/30/2013,4/1/2023,223
224,Savings,2890.5,12/25/2008,11/23/2023,224
225,Current,3353.06,8/27/2021,6/1/2023,225
226,Current,3426.86,2/10/2016,6/27/2023,226
227,Current,6239.54,3/17/2008,7/1/2023,227
228,Savings,6324.96,1/21/2002,4/20/2023,228
229,Current,5276.63,8/29/2003,12/26/2023,229
230,Current,8599.56,2/4/2012,4/19/2023,230
231,Savings,8472.15,5/14/2005,6/5/2023,231
232,Savings,2250.45,9/24/2012,9/17/2023,232
233,Current,5482.03,7/2/2008,3/8/2023,233
234,Savings,7859.99,1/2/2000,9/17/2023,234
235,Savings,8682.06,1/19/2002,9/28/2023,235
236,Current,2626.34,3/9/2021,2/6/2023,236
237,Savings,4991.59,10/19/2007,9/27/2023,237
238,Savings,5297.77,11/10/2020,5/3/2023,238
239,Current,7026.42,11/10/2009,8/12/2023,239
240,Savings,3369.57,9/9/2001,7/14/2023,240
241,Savings,3005.17,8/16/2014,3/23/2023,241
242,Current,7085.42,12/1/2009,2/19/2023,242
243,Current,4053.42,2/3/2012,3/19/2023,243
244,Savings,139.84,1/5/2008,1/25/2023,244
245,Savings,9384.68,5/6/2014,10/22/2023,245
246,Savings,1581.49,7/3/2015,1/26/2023,246
247,Savings,1571.48,1/19/2016,3/1/2023,247
248,Savings,8201.82,10/13/2001,11/4/2023,248
249,Current,3421.48,4/16/2001,3/11/2023,249
250,Savings,3348.94,12/23/2021,6/3/2023,250
251,Savings,6261.71,4/13/2013,2/17/2023,251
252,Current,684.48,8/11/2003,2/23/2023,252
253,Current,2445.92,8/14/2013,4/24/2023,253
254,Savings,627.38,12/26/2012,10/4/2023,254
255,Savings,2985.95,4/4/2007,4/20/2023,255
256,Current,8712.31,11/18/2009,3/13/2023,256
257,Savings,9102.39,11/18/2021,1/18/2023,257
258,Current,3163.42,7/25/2000,1/15/2023,258
259,Current,1957.11,5/16/2013,2/11/2023,259
260,Current,1439.23,11/10/2008,1/20/2023,260
261,Current,4004.75,5/3/2000,1/16/2023,261
262,Savings,8281.42,6/25/2016,5/15/2023,262
263,Current,8541.37,12/17/2011,8/9/2023,263
264,Savings,554.69,12/19/2000,4/5/2023,264
265,Current,2171.37,11/14/2005,4/3/2023,265
266,Savings,2111.39,12/20/2002,3/22/2023,266
267,Savings,8301.46,1/22/2003,3/19/2023,267
268,Current,4617.29,8/19/2002,12/17/2023,268
269,Savings,3747.11,1/27/2002,5/26/2023,269
270,Savings,9570.4,5/30/2021,11/16/2023,270
271,Savings,9261.04,11/23/2004,1/26/2023,271
272,Current,4457.06,8/12/2003,7/16/2023,272
273,Savings,1370.49,11/12/2001,5/24/2023,273
274,Savings,1792.93,9/3/2016,3/18/2023,274
275,Current,1209.63,1/19/2002,11/10/2023,275
276,Current,6836.99,2/22/2022,12/18/2023,276
277,Savings,5591.4,6/4/2006,7/20/2023,277
278,Current,5610.78,12/8/2001,10/30/2023,278
279,Current,1073.94,11/11/2010,11/23/2023,279
280,Current,7953.42,6/8/2007,5/3/2023,280
281,Savings,5402.17,4/6/2019,6/27/2023,281
282,Current,1000.6,5/22/2021,10/29/2023,282
283,Current,7496.59,12/28/2021,1/8/2023,283
284,Current,9814.85,4/24/2001,1/2/2023,284
285,Savings,4467.69,3/31/2018,5/26/2023,285
286,Current,1244.98,9/28/2019,2/5/2023,286
287,Savings,1103.85,1/24/2003,3/29/2023,287
288,Current,356.21,8/24/2012,4/29/2023,288
289,Savings,7726.94,2/3/2004,2/11/2023,289
290,Current,6970.61,5/23/2007,12/24/2023,290
291,Current,5883.97,7/17/2010,5/19/2023,291
292,Savings,7679.73,10/12/2010,2/28/2023,292
293,Savings,9993.05,8/5/2017,6/29/2023,293
294,Current,4078.29,9/2/2012,7/21/2023,294
295,Current,7087.52,4/12/2022,8/9/2023,295
296,Current,3833.9,11/27/2018,2/18/2023,296
297,Savings,3585.37,8/14/2008,12/26/2023,297
298,Current,8524.11,8/30/2021,8/28/2023,298
299,Current,5790.16,11/5/2015,5/8/2023,299
300,Current,1294.07,4/23/2005,11/26/2023,300
301,Savings,4094.81,1/10/2014,10/13/2023,301
302,Current,7985.89,6/11/2011,1/28/2023,302
303,Savings,9405.98,3/2/2002,4/3/2023,303
304,Savings,6182.84,1/4/2013,6/28/2023,304
305,Current,4002.72,5/15/2011,8/5/2023,305
306,Savings,2594.63,6/23/2004,1/27/2023,306
307,Savings,4278.03,4/23/2012,5/7/2023,307
308,Current,5699.98,8/9/2002,4/8/2023,308
309,Current,143.73,8/23/2016,11/4/2023,309
310,Current,2759.91,6/5/2001,10/27/2023,310
311,Savings,6748.01,8/9/2016,2/17/2023,311
312,Savings,6764.97,5/28/2005,12/20/2023,312
313,Savings,6564.77,7/23/2017,9/29/2023,313
314,Current,9504.43,2/25/2005,7/7/2023,314
315,Savings,5728.6,12/14/2014,10/30/2023,315
316,Current,2770.31,3/15/2017,4/20/2023,316
317,Current,8134.97,12/15/2013,11/27/2023,317
318,Savings,3954.84,7/17/2017,1/15/2023,318
319,Savings,2468.98,6/10/2012,4/12/2023,319
320,Savings,5611.82,3/30/2020,4/4/2023,320
321,Current,2961.44,7/28/2008,7/3/2023,321
322,Savings,4021.98,3/2/2014,8/7/2023,322
323,Current,6962.26,3/19/2011,5/9/2023,323
324,Savings,9959.89,10/31/2011,6/2/2023,324
325,Current,6482.84,2/19/2017,11/16/2023,325
326,Savings,2837.15,12/12/2014,4/2/2023,326
327,Savings,995.61,4/23/2014,2/12/2023,327
328,Current,3683.48,6/9/2015,9/27/2023,328
329,Savings,291.18,4/12/2018,9/5/2023,329
330,Savings,4701.07,9/18/2021,3/9/2023,330
331,Current,6633.84,9/22/2017,9/27/2023,331
332,Savings,5166.78,9/25/2012,7/27/2023,332
333,Savings,8666.29,8/4/2014,8/14/2023,333
334,Current,4991.1,10/29/2021,7/24/2023,334
335,Savings,4677.56,10/11/2006,5/25/2023,335
336,Savings,3165.8,8/2/2008,4/2/2023,336
337,Current,8392.38,3/28/2018,5/18/2023,337
338,Savings,9045.63,5/30/2006,1/17/2023,338
339,Savings,9781.4,8/8/2000,1/2/2023,339
340,Current,9813.97,12/27/2017,9/7/2023,340
341,Savings,9806.19,6/18/2006,11/17/2023,341
342,Savings,7148.39,12/22/2015,4/29/2023,342
343,Savings,5670.26,4/15/2015,7/16/2023,343
344,Current,1806.21,12/27/2009,12/21/2023,344
345,Savings,7693.93,9/8/2000,8/2/2023,345
346,Savings,7375.31,9/21/2018,4/17/2023,346
347,Current,8439.78,4/28/2014,7/27/2023,347
348,Current,4678.27,11/22/2004,4/27/2023,348
349,Savings,8934.97,10/6/2000,1/9/2023,349
350,Savings,7214.88,1/7/2012,5/22/2023,350
351,Current,1794.14,6/5/2015,11/26/2023,351
352,Current,2148.34,4/12/2017,1/22/2023,352
353,Current,8161.23,10/2/2005,9/29/2023,353
354,Savings,4314.36,12/28/2009,6/18/2023,354
355,Current,2565.23,10/22/2018,7/14/2023,355
356,Savings,4283.51,9/20/2015,4/4/2023,356
357,Savings,1697.64,1/24/2000,7/12/2023,357
358,Savings,8928.19,11/18/2019,12/8/2023,358
359,Current,808.24,10/17/2010,10/15/2023,359
360,Current,3597.09,11/29/2002,6/29/2023,360
361,Current,5613.59,10/19/2006,9/24/2023,361
362,Current,8749.09,2/15/2021,1/20/2023,362
363,Savings,7837.33,12/27/2013,12/6/2023,363
364,Savings,321.99,5/19/2003,8/13/2023,364
365,Current,8269.96,11/17/2020,6/18/2023,365
366,Savings,6417.39,4/10/2006,11/19/2023,366
367,Current,1420.15,8/9/2011,2/13/2023,367
368,Savings,6213.03,11/19/2004,7/7/2023,368
369,Savings,8197.15,12/6/2010,4/5/2023,369
370,Current,6060.91,5/25/2012,12/28/2023,370
371,Savings,9991.55,12/29/2009,5/15/2023,371
372,Savings,5119.33,4/7/2020,4/4/2023,372
373,Savings,6764,8/11/2007,2/23/2023,373
374,Current,796.7,11/24/2009,3/23/2023,374
375,Savings,8150.66,5/17/2017,9/26/2023,375
376,Savings,6278.62,6/19/2005,10/16/2023,376
377,Savings,5656.3,12/31/2021,5/15/2023,377
378,Current,7117.21,9/22/2016,6/7/2023,378
379,Savings,5649.05,4/19/2000,9/24/2023,379
380,Current,7687.87,2/15/2001,11/22/2023,380
381,Current,5876.8,3/11/2000,10/4/2023,381
382,Savings,5248.53,3/16/2010,10/15/2023,382
383,Savings,1436.69,12/18/2001,5/13/2023,383
384,Savings,4771.12,12/29/2014,12/28/2023,384
385,Savings,5428.52,8/27/2018,12/15/2023,385
386,Savings,6283.28,12/19/2001,2/4/2023,386
387,Savings,4613.33,3/7/2021,9/8/2023,387
388,Current,1551.77,3/6/2021,2/16/2023,388
389,Savings,1588.59,10/10/2022,9/25/2023,389
390,Savings,7237.78,10/30/2019,10/20/2023,390
391,Current,6648.33,5/14/2006,2/13/2023,391
392,Savings,2669.04,9/1/2006,10/5/2023,392
393,Savings,4513.99,9/19/2007,5/19/2023,393
394,Current,3138.88,6/19/2001,12/9/2023,394
395,Current,1892.13,8/30/2017,11/7/2023,395
396,Savings,3329.02,3/17/2021,8/25/2023,396
397,Current,2700.62,2/28/2014,9/23/2023,397
398,Current,916.03,7/22/2009,6/19/2023,398
399,Current,5094.42,8/6/2010,8/4/2023,399
400,Current,4563.75,11/14/2004,4/27/2023,400
401,Savings,7174.62,8/13/2008,8/26/2023,401
402,Current,6241.03,6/24/2002,9/13/2023,402
403,Savings,3499.44,11/1/2005,9/1/2023,403
404,Savings,5013.41,1/8/2019,12/2/2023,404
405,Current,5407.22,8/17/2009,11/28/2023,405
406,Savings,9183.73,2/19/2012,3/29/2023,406
407,Current,9818.77,5/27/2016,8/22/2023,407
408,Current,8173.87,4/10/2000,4/7/2023,408
409,Current,5664.84,8/4/2016,1/18/2023,409
410,Current,9288.26,11/17/2005,4/21/2023,410
411,Savings,1863.32,1/29/2006,7/28/2023,411
412,Savings,6995.31,1/28/2000,12/7/2023,412
413,Current,4658.63,4/14/2013,3/6/2023,413
414,Current,1533.01,2/18/2009,5/3/2023,414
415,Savings,844.58,6/20/2006,8/26/2023,415
416,Savings,4859.34,4/26/2011,12/30/2023,416
417,Current,2465.8,1/24/2010,5/3/2023,417
418,Current,2580.01,7/3/2006,10/14/2023,418
419,Current,3270.15,2/17/2000,8/6/2023,419
420,Savings,7211.81,4/29/2019,8/10/2023,420
421,Current,1724.49,6/11/2022,12/11/2023,421
422,Current,7203.8,2/24/2015,4/23/2023,422
423,Savings,7848.83,10/24/2020,1/18/2023,423
424,Current,5985.35,9/24/2003,8/7/2023,424
425,Current,2550.82,2/22/2009,6/10/2023,425
426,Savings,610.17,3/27/2002,3/11/2023,426
427,Savings,4138.66,1/8/2000,1/7/2023,427
428,Savings,8489.71,5/4/2013,1/1/2023,428
429,Savings,1108.52,12/7/2006,12/24/2023,429
430,Current,7473.82,7/22/2007,4/9/2023,430
431,Savings,4732.11,11/24/2000,3/28/2023,431
432,Savings,8998.45,5/7/2013,3/21/2023,432
433,Current,3626.36,7/13/2006,11/11/2023,433
434,Savings,7077.01,11/24/2010,2/3/2023,434
435,Savings,7427.18,10/2/2006,8/14/2023,435
436,Savings,2067.54,8/4/2014,8/11/2023,436
437,Current,1665.65,4/9/2003,6/29/2023,437
438,Savings,1018.04,4/10/2000,1/8/2023,438
439,Current,7045.67,9/27/2006,8/31/2023,439
440,Savings,5526.69,5/21/2018,3/29/2023,440
441,Current,958.52,11/18/2000,11/5/2023,441
442,Current,3152.51,6/11/2021,5/23/2023,442
443,Savings,1509.23,12/28/2009,1/28/2023,443
444,Current,1017.54,4/8/2013,5/22/2023,444
445,Savings,3057.83,10/4/2015,3/31/2023,445
446,Savings,1053.33,8/29/2001,7/5/2023,446
447,Current,2675.84,11/14/2011,11/9/2023,447
448,Current,5571.92,4/18/2002,6/29/2023,448
449,Current,5652.95,1/26/2003,2/6/2023,449
450,Current,1763.22,11/9/2010,1/2/2023,450
451,Current,1991.03,2/23/2009,2/3/2023,451
452,Current,8564.22,8/29/2003,11/10/2023,452
453,Current,1752.66,6/13/2003,8/14/2023,453
454,Current,552.84,9/10/2019,3/14/2023,454
455,Savings,2523.73,10/6/2001,12/30/2023,455
456,Savings,5806.62,8/19/2001,4/26/2023,456
457,Current,171.52,6/29/2017,4/24/2023,457
458,Current,9851.37,9/11/2007,1/30/2023,458
459,Savings,2380.86,6/2/2012,3/24/2023,459
460,Current,2457.36,7/14/2018,7/27/2023,460
461,Current,7412.31,4/12/2001,4/17/2023,461
462,Current,2556.97,8/18/2007,11/11/2023,462
463,Savings,4021.9,9/9/2007,7/5/2023,463
464,Savings,5484.8,11/7/2015,6/1/2023,464
465,Savings,316.54,7/30/2000,5/30/2023,465
466,Savings,8389.2,2/8/2002,6/9/2023,466
467,Current,5169.3,8/14/2020,3/16/2023,467
468,Current,3197.9,12/2/2008,12/15/2023,468
469,Savings,4057.89,9/16/2000,6/19/2023,469
470,Savings,652.66,10/20/2004,7/6/2023,470
471,Savings,7208.01,2/15/2000,12/10/2023,471
472,Current,5441.09,5/26/2002,12/5/2023,472
473,Savings,9148.52,4/29/2022,11/7/2023,473
474,Savings,4695.45,12/27/2007,6/18/2023,474
475,Current,8301.18,5/9/2005,11/9/2023,475
476,Current,1964.45,3/24/2006,2/22/2023,476
477,Savings,659.44,3/6/2021,9/14/2023,477
478,Savings,9489.56,10/5/2004,3/1/2023,478
479,Current,2643.89,7/7/2015,8/10/2023,479
480,Current,8352.48,9/25/2008,3/17/2023,480
481,Savings,2647.6,11/29/2000,2/15/2023,481
482,Current,1642.83,3/10/2004,9/17/2023,482
483,Savings,7352.06,7/9/2001,1/15/2023,483
484,Savings,7806.22,3/16/2013,12/3/2023,484
485,Current,8451.77,1/16/2011,4/26/2023,485
486,Savings,8662.2,3/9/2003,1/12/2023,486
487,Current,4883,7/3/2016,1/1/2023,487
488,Current,4062.15,7/13/2005,3/18/2023,488
489,Savings,7534.59,1/15/2021,1/30/2023,489
490,Current,5736.92,6/28/2016,7/21/2023,490
491,Current,9656.31,5/19/2020,11/25/2023,491
492,Savings,3820.78,2/3/2010,2/19/2023,492
493,Savings,524.47,4/24/2005,5/10/2023,493
494,Current,5934.12,1/14/2012,1/6/2023,494
495,Savings,3599.35,5/29/2008,3/16/2023,495
496,Savings,3492.47,3/18/2019,12/12/2023,496
497,Current,5688.74,7/31/2009,12/14/2023,497
498,Current,9225.63,8/24/2011,11/29/2023,498
499,Savings,2742.89,5/27/2021,6/15/2023,499
500,Current,3857.97,6/30/2016,11/28/2023,500
501,Savings,8923.37,9/28/2020,12/5/2023,501
502,Savings,8962.67,2/2/2018,10/1/2023,502
503,Savings,2422.43,3/24/2021,6/5/2023,503
504,Savings,7092.67,3/24/2019,9/25/2023,504
505,Current,4214.05,4/2/2011,11/4/2023,505
506,Current,9366.41,12/11/2008,7/24/2023,506
507,Current,7349.23,5/13/2019,9/1/2023,507
508,Current,4994.1,5/21/2014,3/28/2023,508
509,Current,8192.37,7/5/2011,4/10/2023,509
510,Savings,9979,2/16/2016,7/5/2023,510
511,Savings,4525.73,12/9/2012,8/10/2023,511
512,Savings,3797.77,3/29/2017,10/5/2023,512
513,Current,6109.66,2/29/2012,12/24/2023,513
514,Savings,6862.52,11/14/2002,6/22/2023,514
515,Current,7074.04,5/13/2005,11/14/2023,515
516,Current,4788.47,2/15/2010,2/11/2023,516
517,Savings,3389.7,7/16/2015,3/8/2023,517
518,Savings,8237.05,8/9/2021,7/11/2023,518
519,Current,9586.78,1/18/2004,5/23/2023,519
520,Current,8653.42,12/25/2004,6/3/2023,520
521,Savings,6855.31,10/5/2010,4/4/2023,521
522,Current,3665.49,9/9/2014,7/16/2023,522
523,Savings,6262.58,1/29/2018,4/5/2023,523
524,Savings,1101.48,11/4/2015,9/6/2023,524
525,Current,5385.74,2/18/2010,1/22/2023,525
526,Savings,7834.05,9/14/2010,2/23/2023,526
527,Current,2585.49,12/31/2022,5/5/2023,527
